product_id,product_name,destination_id,product_type,duration_days,base_price_gbp,price_band,included_flights,all_inclusive,max_group_size,min_passengers,accommodation_tier,is_active,launch_date
PKG0001,Costa Rica Tailor-Made Discovery,DEST041,Tailor-Made,8,4506,Budget,Y,N,6,2,5-star Deluxe,Y,2021-08-05
PKG0002,Trans-Siberian Romantic Discovery,DEST044,Honeymoon,14,9651,Mid,Y,Y,2,2,5-star Deluxe,Y,2020-01-23
PKG0003,Kerala Personal Journey,DEST014,Tailor-Made,8,2717,Budget,N,Y,6,2,Villa,Y,2020-09-07
PKG0004,St Lucia Bespoke Explorer,DEST038,Tailor-Made,14,8615,Mid,Y,N,6,2,5-star,Y,2020-07-22
PKG0005,Kerala Art & Culture,DEST014,Cultural,7,3337,Budget,N,Y,6,2,4-star Boutique,Y,2021-11-01
PKG0006,Machu Picchu Honeymoon Paradise,DEST023,Honeymoon,7,17585,Premium,N,Y,2,2,Safari Lodge,Y,2021-09-08
PKG0007,Cambodia Expedition,DEST019,Adventure,8,5462,Mid,Y,Y,6,2,5-star,Y,2022-03-23
PKG0008,Cyprus Bespoke Explorer,DEST050,Tailor-Made,7,4407,Budget,N,N,6,2,Villa,Y,2020-03-20
PKG0009,Costa Rica Trekking Adventure,DEST041,Adventure,10,5532,Mid,Y,N,6,2,4-star Boutique,Y,2021-01-19
PKG0010,Antarctica Cultural Immersion,DEST045,Cultural,12,21980,Ultra,Y,Y,6,2,5-star,Y,2020-01-28
PKG0011,Svalbard Personal Journey,DEST030,Tailor-Made,14,15598,Premium,Y,Y,6,2,5-star,Y,2020-07-18
PKG0012,Bora Bora Wilderness Journey,DEST003,Adventure,10,16386,Premium,Y,Y,6,2,Safari Lodge,Y,2021-04-05
PKG0013,French Riviera Exclusive Escape,DEST046,Tailor-Made,14,12482,Premium,Y,N,6,2,5-star,Y,2020-01-25
PKG0014,Bali Romantic Discovery,DEST016,Honeymoon,14,13395,Premium,N,N,2,2,5-star,Y,2020-06-30
PKG0015,Safari Tanzania Small Group Adventure,DEST009,Group,7,6771,Mid,Y,N,12,2,5-star,Y,2021-08-15
PKG0016,Trans-Siberian Small Group Adventure,DEST044,Group,14,12304,Premium,N,N,12,2,4-star Boutique,Y,2021-05-11
