interaction_id,customer_id,interaction_date,interaction_time,channel,interaction_type,duration_mins,outcome,agent_id,destination_interest,budget_range,travel_party_size,referral_source,is_converted
INT0000001,CUS00511,2024-10-30,12:30,In-Store,Quote,20,Converted,AGT019,Safari Tanzania,"£10,000 - £20,000",3,,Y
INT0000002,CUS01775,2024-06-24,17:15,Email,Booking,10,Converted,AGT018,Alaska Cruise,"£10,000 - £20,000",6,Word of mouth,Y
INT0000003,CUS00741,2023-06-08,09:00,Phone,Enquiry,18,No-action,AGT012,Australia,"£10,000 - £20,000",6,Google,N
INT0000004,CUS00797,2024-01-11,17:00,Email,Post-trip,4,Resolved,AGT010,Japan,"£5,000 - £10,000",1,Travel agent,N
INT0000005,CUS01511,2024-10-21,13:00,Web,Quote,7,Converted,,Alaska Cruise,"£10,000 - £20,000",1,Travel agent,Y
INT0000006,CUS01403,2023-05-31,14:15,Email,Booking,5,Converted,AGT019,Bora Bora,"£5,000 - £10,000",3,Word of mouth,Y
INT0000007,CUS01696,2023-02-02,11:45,Web,Quote,11,Follow-up,,Rajasthan,"£10,000 - £20,000",2,Travel agent,N
INT0000008,CUS01952,2023-09-01,15:00,Email,Enquiry,5,Follow-up,AGT009,Australia,"£5,000 - £10,000",6,Google,N
INT0000009,CUS01373,2023-02-26,12:15,Phone,Post-trip,6,Resolved,,Sri Lanka,"£20,000+",5,Social media,N
INT0000010,CUS00134,2024-02-24,15:30,Email,Enquiry,14,Follow-up,AGT013,Safari Kenya,"£3,000 - £5,000",5,Word of mouth,N
INT0000011,CUS01665,2022-10-07,09:15,Email,Quote,14,Follow-up,AGT014,Santorini,"£5,000 - £10,000",1,Social media,N
INT0000012,CUS01741,2022-01-08,13:30,Phone,Quote,32,Converted,AGT012,Maldives,"£20,000+",4,Travel agent,Y
INT0000013,CUS00382,2023-03-14,14:15,WhatsApp,Post-trip,11,Follow-up,AGT006,Phuket,"£20,000+",3,Social media,N
INT0000014,CUS00013,2022-03-16,12:45,Email,Post-trip,19,Resolved,,Tuscany,"£3,000 - £5,000",4,,N
INT0000015,CUS00220,2024-10-02,12:00,Web,Quote,3,No-action,,Canada Rockies,"£3,000 - £5,000",2,Repeat customer,N
INT0000016,CUS01018,2024-11-03,14:15,In-Store,Quote,39,Converted,AGT019,Bali,"£5,000 - £10,000",5,Travel agent,Y
INT0000017,CUS01298,2022-07-18,14:15,Email,Enquiry,11,No-action,AGT001,Svalbard,"£3,000 - £5,000",2,Google,N
INT0000018,CUS00668,2023-03-30,14:45,Phone,Booking,46,Converted,,Botswana Safari,"£10,000 - £20,000",6,Social media,Y
INT0000019,CUS00783,2024-12-05,12:15,Email,Post-trip,4,Resolved,AGT003,Safari Kenya,"£20,000+",3,Social media,N
INT0000020,CUS01061,2022-05-24,11:45,Email,Post-trip,18,No-action,,Alaska Cruise,"£3,000 - £5,000",6,Social media,N
INT0000021,CUS00242,2022-02-05,10:00,Web,Quote,3,Follow-up,AGT010,Bora Bora,"£10,000 - £20,000",6,Repeat customer,N
INT0000022,CUS01033,2022-09-09,16:00,Email,Quote,10,Converted,AGT005,Bora Bora,"£5,000 - £10,000",5,,Y
INT0000023,CUS00692,2022-03-07,09:00,Web,Enquiry,13,Converted,,Maldives,"£5,000 - £10,000",6,,Y
INT0000024,CUS00415,2023-03-02,13:30,Phone,Enquiry,47,Converted,AGT004,Australia,"£5,000 - £10,000",1,,Y
INT0000025,CUS00637,2024-12-27,15:30,Email,Post-trip,13,No-action,,Phuket,"£5,000 - £10,000",4,Google,N
INT0000026,CUS00446,2023-02-10,09:30,Email,Post-trip,15,Resolved,AGT014,Maldives,"£20,000+",5,Repeat customer,N
INT0000027,CUS00795,2022-03-22,15:30,WhatsApp,Enquiry,14,Follow-up,AGT020,Safari Tanzania,"£3,000 - £5,000",4,,N
INT0000028,CUS01620,2022-12-15,09:45,Web,Enquiry,7,Follow-up,,Santorini,"£20,000+",6,Repeat customer,N
INT0000029,CUS01766,2024-01-08,16:45,In-Store,Enquiry,45,Follow-up,AGT006,Safari Tanzania,"£5,000 - £10,000",5,Google,N
INT0000030,CUS00578,2022-07-03,16:15,In-Store,Enquiry,39,Follow-up,AGT004,Seychelles,"£20,000+",1,Google,N
INT0000031,CUS00382,2022-05-10,16:00,Email,Quote,13,Converted,AGT002,Bora Bora,"£5,000 - £10,000",6,Word of mouth,Y
INT0000032,CUS00981,2023-04-18,11:15,In-Store,Enquiry,27,Converted,AGT010,Seychelles,"£5,000 - £10,000",2,Travel agent,Y
INT0000033,CUS01885,2024-06-29,11:00,Phone,Post-trip,29,Resolved,,Cambodia,"£20,000+",5,Travel agent,N
