booking_id,customer_id,product_id,booking_date,travel_date,return_date,num_passengers,total_value_gbp,deposit_amount_gbp,balance_due_date,status,channel,agent_id,branch_code,margin_pct,currency,exchange_rate,special_requests,insurance_included,cancellation_date,cancellation_reason,_record_hash
BKG000001,CUS00960,PKG0005,2023-11-14,2024-03-17,2024-04-06,2,6900.0,1380.0,2023-12-18,Completed,Agent,,,0.2264,GBP,1.0,Sea view room,Y,,,2e65a24b0760f61260f1c1a08787953a
BKG000002,CUS00749,PKG0157,2023-11-29,2024-04-26,2024-05-08,3,23000.0,4600.0,2024-01-27,Cancelled,Agent,AGT004,,0.2789,GBP,1.0,Anniversary surprise,N,2023-12-23,Medical,998151ead6c13412763ea5f638ce21a1
BKG000003,CUS01483,PKG0194,2022-10-03,2022-12-03,2022-12-18,3,25800.0,5160.0,2022-09-04,Completed,Phone,,,0.2023,GBP,1.0,,Y,,,01d24ff9b07b786cfb07291dc772c998
BKG000004,CUS01570,PKG0166,2024-01-15,2024-06-03,2024-06-13,1,9000.0,1800.0,2024-03-05,Completed,Phone,AGT014,,0.2196,GBP,1.0,,Y,,,2675a36044f1b60b0a8e62a3637336cb
BKG000005,CUS01901,PKG0075,2023-09-07,2024-02-15,2024-02-29,4,45000,9000.0,2023-11-17,Completed,Phone,AGT004,,0.1491,GBP,1.0,Dietary requirements,Y,,,c606326e1a00afafc20d911c1460d964
BKG000006,CUS00761,PKG0023,2024-04-16,2024-11-26,2024-12-13,4,20800.0,4160.0,2024-08-28,Completed,Online,,,0.2065,GBP,1.0,,Y,,,9f7efe5a6c6b57a5c3dd8c6441834131
BKG000007,CUS01683,PKG0093,2024-10-26,2025-02-06,2025-02-19,2,43900.0,8780.0,2024-11-08,Completed,Referral,AGT010,,0.2685,GBP,1.0,,Y,,,b001b6862c8f2fe49ddb9f4569ecc135
BKG000008,CUS00971,PKG0168,2023-09-08,2024-03-25,2024-04-04,3,45000,9000.0,2023-12-26,Completed,Online,,,0.1474,GBP,1.0,Sea view room,N,,,2f364efe4e26f5375226a281644903fc
BKG000009,CUS00878,PKG0196,2024-01-17,2024-03-03,2024-03-21,4,38500.0,7700.0,2023-12-04,Completed,Phone,AGT009,,0.2274,GBP,1.0,Dietary requirements,Y,,,993a215b1334e7059247f871a463555a
BKG000010,CUS01441,PKG0083,2024-12-01,2025-04-29,2025-05-15,2,32200.0,6440.0,2025-01-29,Completed,Phone,AGT015,,0.2782,GBP,1.0,Wheelchair accessible,N,,,ba3a5d0a16d11d57f156cd3e420f3ab9
BKG000011,CUS01534,PKG0116,2023-12-14,2024-06-17,2024-06-24,2,6600.0,1320.0,2024-03-19,Completed,Phone,AGT017,,0.2093,GBP,1.0,,Y,,,fcd57e5c07f9a22c74137bcd87706fd4
BKG000012,CUS00800,PKG0161,2023-11-01,2024-05-08,2024-05-26,4,32900.0,6580.0,2024-02-08,Completed,Phone,,,0.1858,GBP,1.0,Dietary requirements,Y,,,0a2133453c7208c02d2daa03ecdef994
BKG000013,CUS00163,PKG0103,2022-07-08,2022-09-12,2022-09-26,2,13600.0,2720.0,2022-06-14,Completed,Referral,,,0.2458,GBP,1.0,Dietary requirements,Y,,,6fd3d69283aa01f2644c93bf94270ba7
BKG000014,CUS01121,PKG0023,2024-03-17,2024-11-07,2024-11-25,2,11800.0,2360.0,2024-08-09,Completed,Phone,AGT018,,0.223,GBP,1.0,Wheelchair accessible,N,,,1b93aba9a2c7f76d78bd17d7c4d3fbe1
BKG000015,CUS00275,PKG0197,2024-10-30,2025-06-15,2025-06-30,3,45000,9000.0,2025-03-17,Cancelled,Phone,AGT001,,0.2417,GBP,1.0,Dietary requirements,Y,2024-11-27,Change of plans,7e67a9cfb279eb7258033bb94f8789ca
BKG000016,CUS00986,PKG0057,2022-02-08,2022-07-11,2022-07-20,2,29200.0,5840.0,2022-04-12,Completed,Online,AGT019,,0.164,GBP,1.0,Anniversary surprise,N,,,2404ff2f68c456b86691da8eff0f1c30
BKG000017,CUS01245,PKG0078,2024-04-26,2024-12-20,2025-01-06,2,15200.0,3040.0,2024-09-21,Completed,Online,AGT002,,0.2018,GBP,1.0,Sea view room,N,,,7ba341f265738f24fba3d3394ff613fe
BKG000018,CUS00693,PKG0049,2024-10-29,2025-06-08,2025-06-18,1,8900.0,1780.0,2025-03-10,Completed,Online,AGT015,,0.1473,GBP,1.0,Wheelchair accessible,N,,,f716a400b007ae6bbb8f2e6c74c13fd8
BKG000019,CUS01295,PKG0088,2022-10-17,2022-12-11,2022-12-23,4,27600.0,5520.0,2022-09-12,Completed,Online,,,0.1403,GBP,1.0,,N,,,aaa90dbadf55e3d2d60ce9a6c5a48aa0
BKG000020,CUS00456,PKG0190,2023-10-05,2024-04-06,2024-04-23,2,16000.0,3200.0,2024-01-07,Cancelled,Phone,AGT009,,0.1367,GBP,1.0,,Y,2023-10-08,Work commitments,ebe12ecf3b131eec305013425b8c920b
BKG000021,CUS00210,PKG0180,2023-10-09,2023-12-13,2024-01-03,6,34600.0,6920.0,2023-09-14,Completed,Online,AGT008,,0.2057,GBP,1.0,Sea view room,Y,,,12f5804227197e7e354958de8af20d0e
BKG000022,CUS01094,PKG0199,2023-02-11,2023-09-18,2023-10-01,2,6800.0,1360.0,2023-06-20,Completed,Phone,AGT002,,0.206,GBP,1.0,Wheelchair accessible,Y,,,fb3520f66bd4660333e6ee1517258acc
BKG000023,CUS01286,PKG0200,2022-10-30,2023-05-22,2023-06-10,2,17900.0,3580.0,2023-02-21,Cancelled,Phone,AGT014,,0.167,GBP,1.0,Wheelchair accessible,Y,2022-11-26,Financial,6be44b1eeeb8e3cb81f82320a39f4bbf
BKG000024,CUS00136,PKG0006,2024-08-18,2025-04-13,2025-04-24,3,45000,9000.0,2025-01-13,Completed,Phone,AGT005,,0.1533,GBP,1.0,,Y,,,718643f6ca6078fdceac8ec620ad536a
BKG000025,CUS01879,PKG0181,2024-01-24,2024-06-18,2024-07-02,5,26500.0,5300.0,2024-03-20,Completed,Online,,,0.2014,GBP,1.0,Dietary requirements,N,,,dbfc24d28a4d0ec014fca01f864f7b63
BKG000026,CUS01700,PKG0145,2022-10-09,2023-04-23,2023-05-02,2,16900.0,3380.0,2023-01-23,Completed,Phone,,,0.2793,GBP,1.0,,Y,,,ce66d69e6346987474c16ce00177c848
